ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
8|4|10650|75|91587|102237|23385|31617|15823|6245|5924|3288|5230
17|3|13022|165|159493|172515|31108|39089|46886|15721|10097|9445|6982
1|1|11918|89|140068|151986|42369|46732|9441|7182|4949|2262|27044
19|4|7963|71|156240|164203|79788|42950|13386|3842|6655|2246|7302
26|4|12017|42|151671|163688|48753|54550|25777|3243|9117|5459|4730
21|5|5710|69|140077|145787|35915|46200|21411|12238|10171|5116|8957
12|4|14714|81|136627|151341|13384|36647|49983|5040|9263|18160|4069
15|21|4447|130|147470|151917|46091|46867|29702|10135|6074|4296|4175
5|5|13442|62|162175|175617|57453|63558|20658|5976|5746|3311|5411
30|16|6858|127|182596|189454|74973|51826|31462|8349|6060|5806|3993
15|40|6152|123|159129|165281|34236|71677|26593|10751|6986|4414|4349
12|1|9381|28|140644|150025|7504|56897|59773|4245|3777|7066|1354
15|33|7036|178|199729|206765|28327|72513|47137|13414|10448|21556|6156
7|10|11596|98|152388|163984|29119|37243|22303|47377|5145|2843|8260
26|5|7649|78|136151|143800|58045|55994|12206|1463|4417|2289|1659
31|5|12660|38|202031|214691|82865|88909|16943|4343|4524|1479|2930
24|5|15954|423|152864|168818|75507|32324|18977|9663|5041|4292|6637
14|16|6685|115|174288|180973|46784|63322|11992|13886|4626|28561|5002
10|3|15036|42|152554|167590|48405|77404|8963|3578|8817|1946|3399
15|25|4011|61|141370|145381|16432|51407|41535|12341|8000|6764|4830
15|16|5013|143|167790|172803|24530|60338|46259|13811|9646|6977|6086
14|1|5935|68|168016|173951|48698|68336|15873|8744|5767|14548|5982
9|21|5720|168|160626|166346|20165|31652|64440|10527|16744|10749|6181
8|3|10412|121|122807|133219|42321|35154|21736|7217|5394|4343|6521
9|3|6733|168|182896|189629|37938|36455|65758|10504|14858|11309|5906
15|23|8240|87|180964|189204|41463|78907|32022|11900|8694|2966|4925
19|8|8478|58|148808|157286|59098|57498|12757|3550|6042|2327|7478
9|19|4995|127|150975|155970|15875|24559|66437|9267|17574|12101|5035
15|12|6785|182|205156|211941|33981|66828|59944|15909|9609|11091|7612
9|20|6279|132|178927|185206|32941|33429|64474|10521|19198|11874|6358
11|12|16059|112|151547|167606|70252|47859|13637|8043|3249|2896|5499
21|1|9434|108|157685|167119|41608|53517|28406|11079|11918|5798|5251
15|4|5507|90|194978|200485|42181|62963|47784|14107|9630|10962|7261
9|7|6307|237|182469|188776|30417|38072|69364|11872|15595|11401|5511
30|13|6017|99|180225|186242|85194|54740|20227|8930|3989|3863|3183
11|11|13408|28|132367|145775|57927|49131|11420|6634|2992|1271|2964
9|1|4633|86|137526|142159|16626|22440|61000|8357|14756|9990|4271
15|9|7405|79|176638|184043|31385|85476|17196|14168|9274|13631|5429
13|3|12198|48|166569|178767|34377|66922|33812|4509|9263|4150|13488
11|5|20501|116|177619|198120|90967|58458|8088|11188|1996|1758|5048
9|22|4698|124|148726|153424|13013|23101|66612|9429|18971|12606|4870
15|34|5850|163|180618|186468|49324|75628|28238|12155|5144|3473|6493
4|2|18749|56|163247|181996|57768|61747|22366|3183|6584|6546|4997
7|1|12229|51|187124|199353|21910|48244|41739|54041|13259|5128|2752
22|2|19510|94|193862|213372|76647|70438|20806|7459|6607|4930|6881
19|1|9218|79|163684|172902|80527|51075|12026|4160|6246|3254|6317
15|26|5957|94|186808|192765|49274|81120|25778|14608|5423|3594|6917
11|9|15157|124|153259|168416|69693|59851|9412|5666|2405|2124|3984
12|6|13076|145|155224|168300|13456|58589|51431|6192|10595|11892|2924
12|8|13397|26|140915|154312|25114|37427|53574|10132|9041|3679|1922
8|2|9378|38|79080|88458|19114|31351|12713|5188|4244|2574|3858
3|1|9566|63|108553|118119|39816|42353|13552|1719|4869|3560|2621
8|5|13283|99|160992|174275|54016|71560|14785|5628|4226|2414|8264
19|11|9362|63|144742|154104|52662|60003|12232|3596|6585|2252|7349
15|10|5016|134|187360|192376|28219|64530|52144|16833|10227|8498|6775
21|9|6163|115|169674|175837|59867|35595|32207|10526|13330|8821|9213
2|6|14320|73|146644|160964|48254|40969|31031|6704|7252|6891|5470
27|1|5839|37|158777|164616|15015|61890|58487|6001|7678|8238|1431
31|4|15035|134|191961|206996|92094|68725|15742|4964|3151|3063|4088
14|13|6661|115|167612|174273|47785|59525|12215|12125|4558|26562|4727
30|18|7671|65|165098|172769|48498|55737|39704|8794|5354|4253|2693
10|0|54941|316|630003|684944|211120|290125|43936|14354|46521|9592|14039
21|6|6545|164|174531|181076|57323|39618|33209|11881|14040|8252|10044
9|0|165455|4613|4514844|4680299|908934|843162|1664730|262537|411154|280074|139640
30|4|5090|76|168347|173437|88365|42614|19236|6870|4312|4269|2605
8|7|14921|93|140971|155892|34430|65495|19320|6568|5576|3317|6172
15|20|3597|134|136249|139846|18873|41301|46303|8976|8079|8760|3823
9|13|5631|140|155846|161477|26234|30990|60315|9317|14002|9736|5112
13|1|13352|50|157086|170438|34616|68092|34596|2751|5443|2647|8891
9|10|7712|214|204725|212437|64695|41847|60266|10519|12693|9324|5167
22|4|15748|133|211625|227373|90895|70648|26717|6826|5663|6636|4107
20|7|10278|110|143197|153475|25463|52621|46056|2668|9370|5337|1572
3|2|11140|110|125588|136728|43907|47013|17738|3461|5548|4524|3287
28|7|9753|96|178437|188190|75306|47647|29840|7058|5156|3825|9509
2|5|11065|145|137458|148523|51907|31898|29529|6072|7345|6116|4446
10|4|11132|99|170540|181672|65761|65331|9977|3579|18907|2863|4023
15|18|6400|138|196573|202973|55153|70187|37283|12283|11365|5082|5082
26|3|8371|80|143010|151381|59328|59339|13230|1685|4261|2548|2539
23|3|5643|228|132053|137696|37827|33061|37738|8897|6121|4464|3717
24|6|15729|362|146254|161983|61778|31553|22871|10343|5787|5303|8257
9|9|6045|157|165640|171685|26951|35774|63236|10442|13450|10587|5043
15|5|6286|92|205170|211456|36298|75557|50223|14289|11468|11141|6102
25|7|13287|75|133383|146670|23692|51036|18215|4219|6139|4150|25857
7|2|9213|80|150822|160035|14435|55388|33597|28712|7026|1517|10067
21|12|6467|188|180339|186806|65209|39474|33708|10551|13759|8162|9288
14|6|8771|200|196527|205298|70642|69634|12784|12716|4155|21961|4435
2|7|16193|74|156503|172696|52757|50512|26859|7295|7640|5180|6186
13|5|13062|88|172541|185603|38054|65543|40117|9541|7102|5216|6880
13|7|14683|41|173267|187950|41122|68476|31264|6854|7713|5432|12365
9|5|6377|180|163022|169399|46760|28774|53395|7592|13689|8576|4056
31|1|10695|48|190636|201331|81114|86334|12649|3298|1796|1073|4324
21|15|5877|111|142040|147917|40485|43003|23920|10732|11370|5614|6805
19|12|15594|182|257875|273469|81595|116947|22778|5998|14436|3625|12314
9|2|6416|189|175184|181600|46536|34156|57109|9590|13530|9168|4906
15|37|4429|131|162990|167419|27952|54372|42932|12515|8199|10579|6310
28|8|8462|91|157325|165787|78676|35993|21956|5680|3657|3283|7989
2|3|11572|85|138640|150212|42300|39495|32041|4986|9345|5106|5282
17|0|67133|844|790094|857227|178887|207583|222892|58216|50884|40068|30720
19|0|121846|1008|1896091|2017937|732084|744816|153471|45158|93598|28951|97005
24|0|122975|1310|1003262|1126237|365438|311459|127268|60844|51767|41772|43404
28|0|87723|737|1350239|1437962|554751|416455|159241|49389|38538|26216|104912
7|12|8848|93|146500|155348|38857|46486|19157|28094|5751|3323|4739
19|3|10260|79|173679|183939|69795|66204|15325|4240|8123|2661|7252
24|7|21686|50|156075|177761|47641|52867|23508|7040|7886|9059|8024
30|0|121744|1713|3465169|3586913|1254750|1130143|621278|178252|118712|92102|68219
14|12|10048|569|251501|261549|61743|80570|20715|18177|7037|55457|7233
26|1|9568|52|140095|149663|63277|50799|14480|2804|4193|2389|2101
32|1|5298|59|156316|161614|23341|64740|18012|16288|24843|3042|5991
16|11|13519|95|122867|136386|21618|40414|41734|6267|5498|3650|3591
15|38|5376|426|167612|172988|18173|51547|45995|12267|8663|24668|5873
30|20|5080|49|151381|156461|56187|55753|20473|8129|5384|3410|1996
8|9|15422|112|134194|149616|34163|79298|7277|3776|2334|1154|6080
15|8|3797|88|135288|139085|21912|47265|37392|10449|6619|6616|4947
9|8|6807|186|186794|193601|39188|39327|64910|11236|15285|11185|5477
10|2|15882|68|169952|185834|55152|77262|19184|4510|6246|3383|4147
4|0|36597|125|347578|384175|112040|140167|43661|6810|12379|16249|16147
22|0|65163|406|795627|860790|313493|295478|86664|30960|22233|25506|20887
