ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
8|4|10613|75|90946|101559|23182|31409|15665|6225|5904|3280|5206
14|11|5638|90|154896|160534|37394|57630|11607|11895|4795|26674|4811
7|8|12246|108|166817|179063|12285|42754|25235|67594|8894|3219|6728
19|5|9853|71|114468|124321|31551|55982|7367|3322|10587|1655|3933
25|1|10281|31|123914|134195|42429|50239|8970|2079|1506|1141|17519
16|3|13528|46|114636|128164|21700|41912|30782|6565|6783|3129|3719
2|7|16041|72|154884|170925|52136|50018|26534|7246|7597|5144|6137
31|1|10573|46|189737|200310|80768|86120|12416|3269|1780|1050|4288
28|5|10981|74|169353|180334|53942|57137|16450|4724|7278|3576|26172
11|14|13046|54|127803|140849|50542|34975|19531|8733|3039|7157|3772
15|37|4421|103|162586|167007|27830|54289|42813|12507|8187|10566|6291
24|0|122112|1299|997296|1119408|362884|310149|125942|60621|51570|41605|43226
1|0|37955|516|450240|488195|159315|140055|41220|21765|14700|10416|62253
28|0|86773|722|1339788|1426561|549683|414170|157309|49052|38330|26034|104488
24|4|14711|63|129066|143777|38452|46219|16952|8040|6706|8166|4468
22|1|15295|47|188490|203785|58704|89007|15257|9680|4140|6532|5123
30|0|118565|1676|3436244|3554809|1245205|1122831|612586|177459|117716|91170|67601
21|8|4863|53|125886|130749|29317|38216|25256|10008|13123|5823|4090
7|1|11960|49|186271|198231|21763|48051|41404|53986|13213|5079|2726
15|35|6053|65|161151|167204|28262|70083|31971|10225|7838|7428|5279
22|2|19275|93|192462|211737|76096|70096|20466|7412|6561|4905|6833
16|12|9581|57|102290|111871|22023|40335|28304|3777|3781|2094|1919
14|12|9855|569|249725|259580|60920|80255|20349|18128|6997|55310|7197
26|3|8345|80|142579|150924|59176|59238|13098|1675|4245|2533|2534
23|3|5309|224|128985|134294|36508|32540|36784|8849|6038|4381|3661
22|4|15431|132|208766|224197|89468|70219|25994|6761|5561|6567|4064
28|8|8288|90|155776|164064|77837|35721|21644|5636|3633|3261|7954
30|20|5058|49|150037|155095|55854|55357|20067|8082|5294|3351|1983
10|2|15785|66|168651|184436|54625|76843|18972|4470|6219|3351|4105
14|19|7051|67|168606|175657|46759|61804|21735|10053|4591|16332|7265
8|2|9333|36|78886|88219|19049|31306|12659|5183|4235|2569|3849
15|14|4726|159|165264|169990|46816|48577|38118|11299|8611|6313|5371
30|9|6744|59|169411|176155|56104|61637|28778|8812|6105|4044|3872
28|3|12813|88|208782|221595|83357|71217|24914|7433|6053|3769|11951
23|2|5407|61|151061|156468|22437|58062|37726|10613|10791|5014|6357
20|7|10171|105|142463|152634|25296|52406|45774|2654|9353|5319|1556
15|6|5257|129|195684|200941|39895|60715|56653|14036|9207|7487|7562
5|4|13014|60|143017|156031|48260|60956|14501|5939|4387|2494|6420
21|2|6454|38|144184|150638|35874|54366|20154|13519|9120|4065|7048
17|5|12408|102|146251|158659|32673|37255|39327|10943|11436|7699|6816
9|27|5150|134|153760|158910|17979|30268|62513|10844|15090|10330|6602
7|11|10350|55|160652|171002|28831|47287|30263|39671|9114|2695|2736
31|3|16660|154|202410|219070|93249|72477|17804|5820|4079|3869|4958
24|5|15742|418|151101|166843|74636|32043|18557|9606|4990|4251|6600
9|11|5355|181|155047|160402|25373|29862|61724|9124|13897|10043|4843
19|1|9065|76|161772|170837|79373|50834|11644|4125|6206|3222|6292
32|3|6152|120|157960|164112|25776|69344|25992|15375|11629|3516|6208
25|5|13205|136|159699|172904|27565|58674|26737|4569|9355|5906|26757
27|3|5747|30|180562|186309|5701|63063|87395|6176|9538|6492|2167
21|10|5970|120|163561|169531|62198|35360|28430|9856|12085|7670|7842
14|14|6748|116|162983|169731|49437|53169|11496|12977|4598|26976|4214
32|4|6447|111|166968|173415|25962|73550|27940|17214|11476|3482|7233
29|1|16562|73|155913|172475|53205|42843|30398|7190|8576|5655|7973
19|11|9237|62|143453|152690|52027|59577|12110|3584|6552|2231|7310
