ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PANAL|PRI_PVEM|PRD_PT_MC
12|6|6105|29|161199|167304|16968|2645|69090|72467
7|3|8882|40|164179|173061|23662|10426|85138|44913
19|9|6173|25|177574|183747|53817|11254|83344|29134
10|1|3494|42|146229|149723|38438|2832|80536|24381
21|4|6766|17|149038|155804|35473|3542|65211|44795
20|9|4113|62|141853|145966|31821|2415|49317|58238
9|26|3972|204|201039|205011|45837|3341|53037|98620
30|11|3585|59|180135|183720|31054|2244|56818|89960
5|4|3065|60|153962|157027|51325|4998|68595|28984
19|5|3317|31|121385|124702|36930|3075|51213|30136
4|1|4707|56|197009|201716|55132|6647|82839|52335
10|4|3013|50|179025|182038|56214|5346|68698|48717
11|11|5105|17|141178|146283|50975|2594|68928|18664
31|2|4503|28|206787|211290|77080|3403|96511|29765
26|3|2963|60|149019|151982|57429|3115|53978|34437
14|5|4798|79|179776|184574|49795|4529|68127|57246
7|1|9622|19|190211|199833|23590|1486|95304|69812
8|1|3722|83|172523|176245|32439|6956|79551|53494
11|5|4419|79|193952|198371|94510|4606|78091|16666
13|2|4513|50|160760|165273|25788|5503|71756|57663
27|3|4570|12|182399|186969|6813|1036|60648|113890
25|3|4112|48|149307|153419|37325|2610|76921|32403
2|3|2947|62|147674|150621|33976|3702|56580|53354
20|3|3502|35|147167|150669|24304|2127|56843|63858
30|18|5831|30|167174|173005|47808|1859|60876|56601
15|39|3314|64|167683|170997|16789|4164|73317|73349
9|7|3394|170|185808|189202|28079|3601|54285|99673
16|8|4453|417|143433|147886|28111|4125|70834|39946
15|25|2960|65|142440|145400|18414|3539|62369|58053
30|12|2694|75|165333|168027|78917|2520|38355|45466
9|11|3015|139|158126|161141|24530|3215|43510|86732
14|10|3539|117|181604|185143|75566|4351|58854|42716
5|1|2897|40|151085|153982|57491|3264|65265|25025
1|2|4993|191|176621|181614|50467|12347|68609|45007
5|7|2661|59|144986|147647|59765|4135|54463|26564
1|1|4386|75|148082|152468|44735|14006|65921|23345
20|5|2530|35|135861|138391|21440|1154|48765|64467
12|1|3510|15|146581|150091|9794|877|67499|68396
21|5|3434|28|142371|145805|31902|4297|57730|48414
7|12|5924|26|149681|155605|44623|2650|58863|43519
15|18|4033|60|199751|203784|48117|3876|89229|58469
