ID_ESTADO|ID_DISTRITO|TIPO_CANDIDATURA|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
9|14|4|5880|118|163943|169823|23498|22588|59417|5772|8668|4499|5170|7910|20267|4669|864|503
9|14|5|5880|118|163943|169823|23498|26543|68940|9727|18010|11937|5170|||||
9|15|5|9700|276|232364|242064|88480|43029|60718|10185|15314|9455|4907|||||
9|16|4|7213|165|189131|196344|39252|28207|60238|6908|7874|4819|7114|9280|18968|4776|1043|487
9|17|5|7972|235|203116|211088|50110|39084|66960|13437|15299|10358|7633|||||
9|19|4|4854|127|150522|155376|15788|20788|56363|5556|7857|4344|5024|7404|21236|4717|823|495
9|19|5|4995|127|150975|155970|15875|24559|66437|9267|17574|12101|5035|||||
9|20|4|6162|132|177948|184110|32650|29048|55824|6274|10864|5287|6340|8435|17521|4168|697|708
28|1|5|11709|148|164149|175858|76073|43621|15131|4657|3154|2279|19086|||||
28|2|5|11611|127|164223|175834|63602|50448|22791|7007|6118|4227|9903|||||
28|3|4|12813|88|208782|221595|83357|71217|22844|7433|4048|2250|11951||3919|1248|278|149
28|5|4|10981|74|169353|180334|53942|57137|14365|4724|5214|1970|26172||4211|1138|224|182
28|5|5|11007|75|169660|180667|54065|57202|16524|4733|7284|3594|26183|||||
28|6|5|10413|39|156345|166758|64305|59994|11745|5155|2769|1946|10392|||||
28|7|4|9652|93|177007|186659|74610|47385|26992|7014|2705|1847|9451||5159|1288|345|118
28|8|5|8462|91|157325|165787|78676|35993|21956|5680|3657|3283|7989|||||
29|1|4|16562|73|155913|172475|53205|42843|26985|7190|5274|3124|7973||6533|2003|465|245
29|1|5|16675|74|156502|173177|53407|42961|30579|7209|8604|5677|7991|||||
29|2|4|13008|87|167686|180694|43929|42125|38184|6792|8789|4518|8753||10696|2873|576|364
29|2|5|13322|88|169265|182587|44375|42545|43918|6852|14038|8619|8830|||||
29|3|4|13727|50|150744|164471|44134|38019|31163|4847|6007|4290|8004||10615|2666|628|321
29|3|5|13892|51|151604|165496|44367|38237|36625|4878|11080|8334|8032|||||
30|1|5|4083|40|136895|140978|52713|55583|13644|8089|2762|1931|2133|||||
30|2|4|5895|67|170021|175916|65326|62279|22102|4464|3314|744|2272|6509|1811|968|123|42
30|2|5|6059|68|170925|176984|65595|65881|23458|7745|4435|1440|2303|||||
30|3|4|4505|72|144464|148969|50900|51787|16642|4595|2105|1250|3133|9201|3438|989|232|120
30|3|5|4537|73|145744|150281|51400|56702|18678|9256|3862|2605|3168|||||
30|6|4|4304|36|139654|143958|47019|43698|22917|4093|2905|3367|2697|6735|4401|1269|417|100
30|6|5|4631|38|141402|146033|47547|47540|25767|7514|5111|5145|2740|||||
30|7|5|5371|67|153333|158704|56864|53129|21229|9089|4761|3293|4901|||||
30|8|4|6136|89|193905|200041|68984|55284|33397|4922|4260|3115|3723|9906|7398|2113|526|188
30|8|5|6226|105|194701|200927|69245|60434|37428|9897|7901|5956|3735|||||
30|10|4|6551|142|175706|182257|48796|37449|46894|4510|5015|3963|5726|8388|11202|2698|651|272
30|11|5|5545|123|178570|184115|32972|58701|58810|9612|8672|6835|2845|||||
30|12|4|4544|121|161030|165574|81355|32758|19481|2968|2370|3640|2948|7500|6390|841|455|203
30|12|5|4751|121|162953|167704|82226|36885|22778|6749|5062|6148|2984|||||
30|13|5|6017|99|180225|186242|85194|54740|20227|8930|3989|3863|3183|||||
30|14|4|4655|77|151088|155743|41076|50539|31144|3297|3037|1890|2244|8818|6481|1987|384|114
30|15|5|8350|96|179352|187702|62294|53602|36686|9661|7165|5229|4619|||||
30|16|4|6549|127|180912|187461|74294|46883|27778|3763|2929|3232|3959|9100|6607|1594|459|187
30|16|5|6858|127|182596|189454|74973|51826|31462|8349|6060|5806|3993|||||
30|18|4|7663|64|164335|171998|48277|51486|36759|4749|2747|2451|2673|8044|4595|1991|392|107
30|19|5|5802|47|147114|152916|54215|48578|24575|8730|4994|3429|2546|||||
30|20|4|5058|49|150037|155095|55854|50475|17995|3201|3272|1891|1983|9763|3899|1332|211|112
30|20|5|5080|49|151381|156461|56187|55753|20473|8129|5384|3410|1996|||||
30|21|5|5710|68|164827|170537|41760|59628|42628|7770|6288|4703|1982|||||
31|1|4|10573|46|189737|200310|80768|86120|11828|3269|1215|687|4288||926|478|79|33
31|1|5|10695|48|190636|201331|81114|86334|12649|3298|1796|1073|4324|||||
31|2|4|12075|98|198229|210304|78228|89742|12053|8413|2401|1288|3912||1401|506|117|70
31|2|5|12143|98|199044|211187|78623|89914|13013|8436|3168|1864|3928|||||
31|3|4|16660|154|202410|219070|93249|72477|16361|5820|2682|2696|4958||2978|675|224|136
31|3|5|16889|158|204364|221253|94097|72777|18412|5865|4131|3932|4992|||||
31|4|4|14821|132|189595|204416|91125|68306|13908|4916|2017|2103|4039||2181|602|177|89
31|4|5|15035|134|191961|206996|92094|68725|15742|4964|3151|3063|4088|||||
31|5|4|12618|38|201785|214403|82787|88843|15843|4339|3525|923|2913||1310|1038|156|70
31|5|5|12660|38|202031|214691|82865|88909|16943|4343|4524|1479|2930|||||
