ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
8|2|9451|45|78743|88194|18169|31531|11117|5378|2600|1301|4091||3177|916|221|197
21|4|7971|20|146906|154877|34363|45602|18543|2871|7661|1736|16417|11884|4931|2376|290|212
26|4|12632|47|147909|160541|31813|58137|17746|3879|4500|2729|24113||3124|1281|299|241
21|5|5216|62|137951|143167|34847|35923|16063|3756|5681|2207|16623|13441|6706|2010|315|317
14|7|5915|128|158191|164106|40329|54819|9206|6536|3764|19498|5533|12904|4127|470|422|455
19|1|5257|123|165791|171048|91761|38490|9515|4716|4930|2145|6490|4653|2119|601|90|158
16|2|13488|83|121284|134772|23861|42761|32363|5460|2477|1400|3988||5698|2647|444|102
5|5|13248|81|162339|175587|56722|64924|18013|6115|3664|1653|5606||4127|1057|233|144
12|1|9155|87|140248|149403|8851|54447|57792|4269|1731|5600|1435||3454|2021|463|98
2|7|4258|93|166251|170509|47494|52892|23108|6760|4468|2647|6631|13875|6025|1686|394|178
26|7|11525|47|149363|160888|67301|50646|17830|2601|1525|792|4107||2521|1737|195|61
7|4|10747|78|159063|169810|26711|39761|22295|37948|4061|2325|12534|7777|3475|1757|213|128
15|1|6488|50|165625|172113|36742|77062|15770|3645|4664|4508|4261|14607|2669|1289|230|128
8|3|9776|143|120925|130701|39168|36120|18843|7443|3138|2457|7584||4545|1016|296|172
23|3|5032|192|126991|132023|37958|28691|31852|3888|2481|1700|3468|7801|6506|1887|422|145
24|4|14098|68|128872|142970|36935|44960|14182|9054|4918|6622|7832||2467|1265|319|250
19|12|8305|203|265712|274017|85522|107247|21783|7169|12881|2563|12457|11653|2530|1331|167|206
17|5|7836|126|150749|158585|45230|32629|32999|8288|6999|4484|6169|4609|6375|1964|620|257
9|12|6555|180|170638|177193|33566|32116|51140|6112|7353|4879|5600|10360|15046|3081|783|422
9|17|7878|225|201929|209807|48502|34595|59308|7697|7401|4119|7745|10522|16438|4259|690|428
15|25|3752|86|141312|145064|15015|49229|34054|4258|3117|2659|4834|15400|9601|2259|599|201
14|1|5542|48|166362|171904|54132|61650|13479|3837|4216|11761|5925|8561|1242|377|240|894
9|1|4486|103|136507|140993|15423|19512|52681|4862|6537|3702|4339|6615|17197|4351|773|412
30|17|6155|76|191029|197184|83846|55058|20431|3821|2778|1936|4173|11760|5215|1377|408|150
30|2|5904|55|169234|175138|63460|62171|22938|4155|3212|807|2962|6416|1876|996|141|45
15|26|5917|123|184455|190372|48128|72021|21969|5245|3137|1884|8014|18134|4186|1239|246|129
9|7|5938|218|180312|186250|28429|33006|61322|6293|7517|5001|5428|10504|17774|3533|789|498
11|10|7218|77|141278|148496|60746|35691|12460|13863|2998|1528|7425|4476|1342|504|102|66
9|21|6003|164|159774|165777|19757|28297|55163|6006|8216|4249|6391|8571|17294|4501|702|463
22|2|11148|176|199550|210698|74117|61009|18946|8033|5166|3905|14608|9874|2683|742|171|120
11|5|8603|129|187807|196410|90214|57681|7636|10142|1513|1372|5124|12791|901|216|52|36
12|9|6104|122|133381|139485|13741|35667|38734|4968|2835|8067|3764|10790|10781|2270|1358|284
16|10|10118|245|147335|157453|47097|51801|17769|7219|2597|2561|4062|9829|3012|796|226|121
13|3|12246|53|166094|178340|20722|64310|33945|8586|6374|2030|20356||6730|2474|343|171
15|17|4411|113|153113|157524|20132|42552|40944|4645|3891|3093|9750|13759|11136|2251|618|229
15|36|6566|47|161609|168175|31494|63375|46362|1640|2812|649|2262|7511|2552|2641|213|51
16|8|8386|139|138355|146741|33222|52868|19141|7101|2242|2343|4773|11764|3541|859|256|106
25|5|13354|191|159156|172510|35082|69977|20959|4523|3666|2498|15068||5470|1198|324|200
16|1|10186|65|114266|124452|16865|47214|32171|3504|2131|1160|2733||5562|2357|394|110
14|9|6280|140|155747|162027|41773|49684|9743|5721|3526|22959|5018|11570|4200|411|481|521
27|3|5880|41|179649|185529|6294|55719|80612|2048|2327|2058|3835|7295|12418|6279|649|74
8|7|14831|98|139687|154518|32205|66539|15927|6839|3588|1796|7787||3133|1261|346|168
9|18|4844|174|152462|157306|18779|25423|54355|5415|7232|4571|5267|8451|17912|3692|762|429
21|10|6200|123|163154|169354|66059|28024|22660|3715|6948|3457|7970|10744|10151|2408|511|384
24|1|18424|118|138822|157246|40365|57543|8183|7566|10036|6312|3746||2685|1490|313|465
6|1|5623|109|160963|166586|57230|58077|15608|3834|9017|1914|3806|7054|2883|1075|149|207
11|9|6462|85|161173|167635|70670|58405|7864|5112|1556|1607|3951|9969|1357|420|119|58
16|7|11462|58|126403|137865|27410|41984|34357|7249|3513|1565|3304||4198|2301|327|137
15|22|3841|117|132639|136480|43180|36817|22901|3315|3251|1791|3635|10147|5641|1473|246|125
22|3|14865|171|196917|211782|87794|60191|20863|8030|3937|6765|5255||2836|734|211|130
20|5|7585|47|128295|135880|17322|38079|51060|2320|5038|4148|1257||6375|2017|481|151
31|5|5749|53|209017|214766|83700|88523|15262|4149|3300|851|2477|8136|1285|1024|163|94
7|11|10667|56|160037|170704|30032|41956|28012|33975|6302|1401|2703|8318|3635|3261|265|121
