ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
16|9|15228|115|130150|145378|30869|45190|30306|7861|3026|1621|4086||4585|2067|312|112
31|4|14821|132|189595|204416|91125|68306|13908|4916|2017|2103|4039||2181|602|177|89
12|8|13377|26|140463|153840|25043|37329|50007|10086|5823|1837|1911||4700|3169|435|97
21|6|6202|164|172812|179014|56752|32411|26927|4962|8202|3550|9964|13722|12470|2720|518|450
2|4|12133|59|146071|158204|43579|37428|26614|6845|9580|3563|7793||7475|2370|428|337
10|0|54455|312|625122|679577|209239|288429|35482|14183|38304|3978|13896||14362|5493|529|915
21|0|99943|1432|2365588|2465531|701815|601092|334720|67902|114444|42626|113262|198935|136274|40855|6490|5741
15|0|210565|5008|6656644|6867209|1317388|2144882|1438403|210733|182182|201433|213979|528431|304216|78413|22153|9423
30|4|5044|76|166420|171464|87397|38141|16685|2662|2209|2413|2577|8319|4686|800|291|164
15|30|3563|102|134261|137824|14496|35606|44447|4266|4161|5168|3922|9449|9504|2266|699|175
20|8|11244|287|169211|180455|50417|38744|43190|6134|5321|5735|6537||10041|1939|602|264
22|3|14124|127|197464|211588|85246|64603|21487|6859|4309|6121|4682||2948|692|253|137
11|7|14724|51|150601|165325|68833|55355|9626|9612|1138|944|3563||981|369|99|30
17|0|65575|836|780592|846167|175696|205647|200360|57887|31770|24781|30461||38257|10500|2890|1507
10|4|10982|98|169002|179984|65140|64794|7410|3531|16286|1115|3996||4452|1712|106|362
31|2|12075|98|198229|210304|78228|89742|12053|8413|2401|1288|3912||1401|506|117|70
21|16|7818|29|125921|133739|31094|48604|13890|2968|6307|1777|7144|7881|3947|1845|229|206
12|7|12411|55|146980|159391|11399|52058|51970|5891|3139|7358|3160||8472|2399|861|218
4|2|18518|55|160338|178856|56759|61006|18854|3093|3820|4344|4920||5012|1626|413|436
13|2|11107|54|152612|163719|35508|60653|29570|4735|5284|1603|7118||5124|2490|348|125
7|3|10623|36|161092|171715|21804|39826|26356|46704|3578|1717|12577|3412|3185|1619|178|100
8|4|10613|75|90946|101559|23182|31409|13495|6225|3769|1667|5206||4259|1270|229|160
