ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PVEM|PANAL|PRI_PVEM|PRD_PT_MC
22|2|19275|93|192462|211737|76096|70096|7412|6833||31932
16|12|9581|57|102290|111871|22023|40335|3777|1919||34179
14|12|9855|569|249725|259580|60920|||7197|98383|82656
26|3|8345|80|142579|150924|59176|59238|1675|2534||19876
23|3|5309|224|128985|134294|36508|||3661|41389|47203
22|4|15431|132|208766|224197|89468|70219|6761|4064||38122
28|8|8288|90|155776|164064|77837|35721|5636|7954||28538
30|20|5058|49|150037|155095|55854|||1983|63439|28712
10|2|15785|66|168651|184436|54625|76843|4470|4105||28542
14|19|7051|67|168606|175657|46759|||7265|71857|42658
8|2|9333|36|78886|88219|19049|31306|5183|3849||19463
15|14|4726|159|165264|169990|46816|||5371|59876|53042
30|9|6744|59|169411|176155|56104|||3872|70449|38927
28|3|12813|88|208782|221595|83357|71217|7433|11951||34736
23|2|5407|61|151061|156468|22437|||6357|68675|53531
20|7|10171|105|142463|152634|25296|52406|2654|1556||60446
15|6|5257|129|195684|200941|39895|||7562|74751|73347
5|4|13014|60|143017|156031|48260|60956|5939|6420||21382
21|2|6454|38|144184|150638|35874|||7048|67885|33339
17|5|12408|102|146251|158659|32673|37255|10943|6816||58462
9|27|5150|134|153760|158910|17979|||6602|41112|87933
7|11|10350|55|160652|171002|28831|||2736|86958|42072
31|3|16660|154|202410|219070|93249|72477|5820|4958||25752
24|5|15742|418|151101|166843|74636|32043|9606|6600||27798
9|11|5355|181|155047|160402|25373|||4843|38986|85664
19|1|9065|76|161772|170837|79373|50834|4125|6292||21072
32|3|6152|120|157960|164112|25776|||6208|84719|41137
25|5|13205|136|159699|172904|27565|58674|4569|26757||41998
27|3|5747|30|180562|186309|5701|||2167|69239|103425
21|10|5970|120|163561|169531|62198|||7842|45216|48185
14|14|6748|116|162983|169731|49437|||4214|66146|43070
32|4|6447|111|166968|173415|25962|||7233|90764|42898
29|1|16562|73|155913|172475|53205|42843|7190|7973||44629
19|11|9237|62|143453|152690|52027|59577|3584|7310||20893
15|13|3909|126|143283|147192|20186|||4980|59830|58161
20|6|9993|104|117628|127621|15482|30628|3755|2528||65131
16|7|11401|81|127108|138509|28843|41215|7171|3105||46693
30|19|5594|45|145941|151535|53835|||2517|56920|32624
15|22|3984|99|134022|138006|42677|||3563|49365|38318
15|29|3557|90|132741|136298|14509|||4005|50972|63165
21|9|5898|113|168374|174272|59300|||9170|45891|53900
21|7|5399|52|134896|140295|28695|||8928|51611|45610
14|13|6569|115|166966|173535|47550|||4707|71493|43101
27|2|5319|39|155136|160455|4674|||1504|63462|85457
13|4|10419|77|136026|146445|42274|52668|4452|7011||29544
30|10|6551|142|175706|182257|48796|||5726|50347|70695
26|2|11308|85|146510|157818|54938|60704|3448|2340||24995
12|3|11263|24|140635|151898|4897|48723|2571|3676||80744
20|4|10055|68|117875|127930|30244|32728|4538|3839||46458
28|6|10359|39|155224|165583|63752|59710|5110|10314||16299
32|0|23403|369|632107|655510|112367|||24575|332929|161867
26|7|10826|47|150735|161561|59341|53905|1705|2258||33479
14|7|5922|110|158844|164766|38936|||5460|75671|38667
19|2|10139|60|169037|179176|53417|79066|5387|8425||22682
14|1|5901|68|167559|173460|48547|||5966|76932|36046
3|1|9331|60|106619|115950|38998|41766|1667|2583||21545
14|18|7235|57|176517|183752|59977|||9109|70313|37061
30|7|5347|64|152249|157596|56560|||4883|61865|28877
2|8|14145|94|168890|183035|51768|46425|7897|6425||56281
13|6|11700|144|175470|187170|62605|55243|5419|9824||42235
27|0|33887|337|1049235|1083122|57554|||11555|405894|573895
5|0|82843|587|1094348|1177191|425569|410774|37271|39170||180977
15|21|4447|130|147030|151477|45914|||4175|56875|39936
9|18|4861|156|152307|157168|20171|||5246|39602|87132
8|0|119225|946|1207844|1327069|365278|491850|63799|63160||222811
24|2|17394|184|142913|160307|45380|41257|11994|7998||36100
3|0|20230|153|229767|249997|81874|88216|5069|5821||48634
18|0|35550|152|429125|464675|119006|172399|11066|28012||98490
26|0|71623|455|1019257|1090880|381405|408175|16467|17894||194861
13|3|12198|48|166133|178331|34245|66823|4495|13472||47050
9|23|6865|181|187852|194717|37847|||4682|35609|109533
14|9|6182|107|155984|162166|40672|||4844|70351|40010
2|1|13292|66|126228|139520|47036|42916|5339|6557||24314
18|2|12060|65|155721|167781|44228|54357|4132|14700||38239
12|4|14338|80|134841|149179|12928|36265|4997|4023||76548
